Date	pH	Cl	DOC	SOC	X-
20160203	4.107	1.86E-05	1.00E-07	1.00E-10	1.00E-10
20160204	4.11	1.87E-05	1.00E-07	1.00E-10	1.00E-10
20160205	4.113	1.88E-05	1.00E-07	1.00E-10	1.00E-10
20160206	4.116	1.89E-05	1.00E-07	1.00E-10	1.00E-10
20160207	4.119	1.90E-05	1.00E-07	1.00E-10	1.00E-10
20160208	4.122	1.91E-05	1.00E-07	1.00E-10	1.00E-10
20160209	4.125	1.92E-05	1.00E-07	1.00E-10	1.00E-10
20160210	4.128	1.93E-05	1.00E-07	1.00E-10	1.00E-10
20160211	4.131	1.94E-05	1.00E-07	1.00E-10	1.00E-10
20160212	4.134	1.95E-05	1.00E-07	1.00E-10	1.00E-10
20160213	4.137	1.96E-05	1.00E-07	1.00E-10	1.00E-10
20160214	4.14	1.97E-05	1.00E-07	1.00E-10	1.00E-10
20160215	4.143	1.98E-05	1.00E-07	1.00E-10	1.00E-10
20160216	4.146	1.99E-05	1.00E-07	1.00E-10	1.00E-10
20160217	4.149	2.00E-05	1.00E-07	1.00E-10	1.00E-10
20160218	4.152	2.01E-05	1.00E-07	1.00E-10	1.00E-10
20160219	4.155	2.02E-05	1.00E-07	1.00E-10	1.00E-10
20160220	4.158	2.03E-05	1.00E-07	1.00E-10	1.00E-10
20160221	4.161	2.04E-05	1.00E-07	1.00E-10	1.00E-10
20160222	4.164	2.05E-05	1.00E-07	1.00E-10	1.00E-10
20160223	4.167	2.06E-05	1.00E-07	1.00E-10	1.00E-10
20160224	4.17	2.07E-05	1.00E-07	1.00E-10	1.00E-10
20160225	4.173	2.08E-05	1.00E-07	1.00E-10	1.00E-10
20160226	4.176	2.09E-05	1.00E-07	1.00E-10	1.00E-10
20160227	4.179	2.10E-05	1.00E-07	1.00E-10	1.00E-10
20160228	4.182	2.11E-05	1.00E-07	1.00E-10	1.00E-10
20160229	4.185	2.12E-05	1.00E-07	1.00E-10	1.00E-10
20160301	4.188	2.13E-05	1.00E-07	1.00E-10	1.00E-10
20160302	4.191	2.14E-05	1.00E-07	1.00E-10	1.00E-10
20160303	4.194	2.15E-05	1.00E-07	1.00E-10	1.00E-10
20160304	4.197	2.16E-05	1.00E-07	1.00E-10	1.00E-10
20160305	4.2	2.17E-05	1.00E-07	1.00E-10	1.00E-10
20160306	4.203	2.18E-05	1.00E-07	1.00E-10	1.00E-10
20160307	4.206	2.19E-05	1.00E-07	1.00E-10	1.00E-10
20160308	4.209	2.20E-05	1.00E-07	1.00E-10	1.00E-10
20160309	4.212	2.21E-05	1.00E-07	1.00E-10	1.00E-10
20160310	4.215	2.22E-05	1.00E-07	1.00E-10	1.00E-10
20160311	4.218	2.23E-05	1.00E-07	1.00E-10	1.00E-10
20160312	4.221	2.24E-05	1.00E-07	1.00E-10	1.00E-10
20160313	4.224	2.25E-05	1.00E-07	1.00E-10	1.00E-10
20160314	4.227	2.26E-05	1.00E-07	1.00E-10	1.00E-10
20160315	4.23	2.27E-05	1.00E-07	1.00E-10	1.00E-10
20160316	4.233	2.28E-05	1.00E-07	1.00E-10	1.00E-10
20160317	4.236	2.29E-05	1.00E-07	1.00E-10	1.00E-10
20160318	4.239	2.30E-05	1.00E-07	1.00E-10	1.00E-10
20160319	4.242	2.31E-05	1.00E-07	1.00E-10	1.00E-10
20160320	4.245	2.32E-05	1.00E-07	1.00E-10	1.00E-10
20160321	4.248	2.33E-05	1.00E-07	1.00E-10	1.00E-10
20160322	4.251	2.34E-05	1.00E-07	1.00E-10	1.00E-10
20160323	4.254	2.35E-05	1.00E-07	1.00E-10	1.00E-10
20160324	4.257	2.36E-05	1.00E-07	1.00E-10	1.00E-10
20160325	4.26	2.37E-05	1.00E-07	1.00E-10	1.00E-10
20160326	4.263	2.38E-05	1.00E-07	1.00E-10	1.00E-10
20160327	4.266	2.39E-05	1.00E-07	1.00E-10	1.00E-10
20160328	4.269	2.40E-05	1.00E-07	1.00E-10	1.00E-10
20160329	4.272	2.41E-05	1.00E-07	1.00E-10	1.00E-10
20160330	4.275	2.42E-05	1.00E-07	1.00E-10	1.00E-10
20160331	4.278	2.43E-05	1.00E-07	1.00E-10	1.00E-10
20160401	4.281	2.44E-05	1.00E-07	1.00E-10	1.00E-10
20160402	4.284	2.45E-05	1.00E-07	1.00E-10	1.00E-10
20160403	4.287	2.46E-05	1.00E-07	1.00E-10	1.00E-10
20160404	4.29	2.47E-05	1.00E-07	1.00E-10	1.00E-10
20160405	4.293	2.48E-05	1.00E-07	1.00E-10	1.00E-10
20160406	4.296	2.49E-05	1.00E-07	1.00E-10	1.00E-10
20160407	4.299	2.50E-05	1.00E-07	1.00E-10	1.00E-10
20160408	4.302	2.51E-05	1.00E-07	1.00E-10	1.00E-10
20160409	4.305	2.52E-05	1.00E-07	1.00E-10	1.00E-10
20160410	4.308	2.53E-05	1.00E-07	1.00E-10	1.00E-10
20160411	4.311	2.54E-05	1.00E-07	1.00E-10	1.00E-10
20160412	4.314	2.55E-05	1.00E-07	1.00E-10	1.00E-10
20160413	4.317	2.56E-05	1.00E-07	1.00E-10	1.00E-10
20160414	4.32	2.57E-05	1.00E-07	1.00E-10	1.00E-10
20160415	4.323	2.58E-05	1.00E-07	1.00E-10	1.00E-10
20160416	4.326	2.59E-05	1.00E-07	1.00E-10	1.00E-10
20160417	4.329	2.60E-05	1.00E-07	1.00E-10	1.00E-10
20160418	4.332	2.61E-05	1.00E-07	1.00E-10	1.00E-10
20160419	4.335	2.62E-05	1.00E-07	1.00E-10	1.00E-10
20160420	4.338	2.63E-05	1.00E-07	1.00E-10	1.00E-10
20160421	4.341	2.64E-05	1.00E-07	1.00E-10	1.00E-10
20160422	4.344	2.65E-05	1.00E-07	1.00E-10	1.00E-10
20160423	4.347	2.66E-05	1.00E-07	1.00E-10	1.00E-10
20160424	4.35	2.67E-05	1.00E-07	1.00E-10	1.00E-10
20160425	4.353	2.68E-05	1.00E-07	1.00E-10	1.00E-10
20160426	4.356	2.69E-05	1.00E-07	1.00E-10	1.00E-10
20160427	4.359	2.70E-05	1.00E-07	1.00E-10	1.00E-10
20160428	4.362	2.71E-05	1.00E-07	1.00E-10	1.00E-10
20160429	4.365	2.72E-05	1.00E-07	1.00E-10	1.00E-10
20160430	4.368	2.73E-05	1.00E-07	1.00E-10	1.00E-10
20160501	4.371	2.74E-05	1.00E-07	1.00E-10	1.00E-10
20160502	4.374	2.75E-05	1.00E-07	1.00E-10	1.00E-10
20160503	4.377	2.76E-05	1.00E-07	1.00E-10	1.00E-10
20160504	4.38	2.77E-05	1.00E-07	1.00E-10	1.00E-10
20160505	4.383	2.78E-05	1.00E-07	1.00E-10	1.00E-10
20160506	4.386	2.79E-05	1.00E-07	1.00E-10	1.00E-10
20160507	4.389	2.80E-05	1.00E-07	1.00E-10	1.00E-10
20160508	4.392	2.81E-05	1.00E-07	1.00E-10	1.00E-10
20160509	4.395	2.82E-05	1.00E-07	1.00E-10	1.00E-10
20160510	4.398	2.83E-05	1.00E-07	1.00E-10	1.00E-10
20160511	4.401	2.84E-05	1.00E-07	1.00E-10	1.00E-10
20160512	4.404	2.85E-05	1.00E-07	1.00E-10	1.00E-10
20160513	4.407	2.86E-05	1.00E-07	1.00E-10	1.00E-10
20160514	4.41	2.87E-05	1.00E-07	1.00E-10	1.00E-10
20160515	4.413	2.88E-05	1.00E-07	1.00E-10	1.00E-10
20160516	4.416	2.89E-05	1.00E-07	1.00E-10	1.00E-10
20160517	4.419	2.90E-05	1.00E-07	1.00E-10	1.00E-10
20160518	4.422	2.91E-05	1.00E-07	1.00E-10	1.00E-10
20160519	4.425	2.92E-05	1.00E-07	1.00E-10	1.00E-10
20160520	4.428	2.93E-05	1.00E-07	1.00E-10	1.00E-10
20160521	4.431	2.94E-05	1.00E-07	1.00E-10	1.00E-10
20160522	4.434	2.95E-05	1.00E-07	1.00E-10	1.00E-10
20160523	4.437	2.96E-05	1.00E-07	1.00E-10	1.00E-10
20160524	4.44	2.97E-05	1.00E-07	1.00E-10	1.00E-10
20160525	4.443	2.98E-05	1.00E-07	1.00E-10	1.00E-10
20160526	4.446	2.99E-05	1.00E-07	1.00E-10	1.00E-10
20160527	4.449	3.00E-05	1.00E-07	1.00E-10	1.00E-10
20160528	4.452	3.01E-05	1.00E-07	1.00E-10	1.00E-10
20160529	4.455	3.02E-05	1.00E-07	1.00E-10	1.00E-10
20160530	4.458	3.03E-05	1.00E-07	1.00E-10	1.00E-10
20160531	4.461	3.04E-05	1.00E-07	1.00E-10	1.00E-10
20160601	4.464	3.05E-05	1.00E-07	1.00E-10	1.00E-10
20160602	4.467	3.06E-05	1.00E-07	1.00E-10	1.00E-10
20160603	4.47	3.07E-05	1.00E-07	1.00E-10	1.00E-10
20160604	4.473	3.08E-05	1.00E-07	1.00E-10	1.00E-10
20160605	4.476	3.09E-05	1.00E-07	1.00E-10	1.00E-10
20160606	4.479	3.10E-05	1.00E-07	1.00E-10	1.00E-10
20160607	4.482	3.11E-05	1.00E-07	1.00E-10	1.00E-10
20160608	4.485	3.12E-05	1.00E-07	1.00E-10	1.00E-10
20160609	4.488	3.13E-05	1.00E-07	1.00E-10	1.00E-10
20160610	4.491	3.14E-05	1.00E-07	1.00E-10	1.00E-10
20160611	4.494	3.15E-05	1.00E-07	1.00E-10	1.00E-10
20160612	4.497	3.16E-05	1.00E-07	1.00E-10	1.00E-10
20160613	4.5	3.17E-05	1.00E-07	1.00E-10	1.00E-10
20160614	4.503	3.18E-05	1.00E-07	1.00E-10	1.00E-10
20160615	4.506	3.19E-05	1.00E-07	1.00E-10	1.00E-10
20160616	4.509	3.20E-05	1.00E-07	1.00E-10	1.00E-10
20160617	4.512	3.21E-05	1.00E-07	1.00E-10	1.00E-10
20160618	4.515	3.22E-05	1.00E-07	1.00E-10	1.00E-10
20160619	4.518	3.23E-05	1.00E-07	1.00E-10	1.00E-10
20160620	4.521	3.24E-05	1.00E-07	1.00E-10	1.00E-10
20160621	4.524	3.25E-05	1.00E-07	1.00E-10	1.00E-10
20160622	4.527	3.26E-05	1.00E-07	1.00E-10	1.00E-10
20160623	4.53	3.27E-05	1.00E-07	1.00E-10	1.00E-10
20160624	4.533	3.28E-05	1.00E-07	1.00E-10	1.00E-10
20160625	4.536	3.29E-05	1.00E-07	1.00E-10	1.00E-10
20160626	4.539	3.30E-05	1.00E-07	1.00E-10	1.00E-10
20160627	4.542	3.31E-05	1.00E-07	1.00E-10	1.00E-10
20160628	4.545	3.32E-05	1.00E-07	1.00E-10	1.00E-10
20160629	4.548	3.33E-05	1.00E-07	1.00E-10	1.00E-10
20160630	4.551	3.34E-05	1.00E-07	1.00E-10	1.00E-10
20160701	4.554	3.35E-05	1.00E-07	1.00E-10	1.00E-10
20160702	4.557	3.36E-05	1.00E-07	1.00E-10	1.00E-10
20160703	4.56	3.37E-05	1.00E-07	1.00E-10	1.00E-10
20160704	4.563	3.38E-05	1.00E-07	1.00E-10	1.00E-10
20160705	4.566	3.39E-05	1.00E-07	1.00E-10	1.00E-10
20160706	4.569	3.40E-05	1.00E-07	1.00E-10	1.00E-10
20160707	4.572	3.41E-05	1.00E-07	1.00E-10	1.00E-10
20160708	4.575	3.42E-05	1.00E-07	1.00E-10	1.00E-10
20160709	4.578	3.43E-05	1.00E-07	1.00E-10	1.00E-10
20160710	4.581	3.44E-05	1.00E-07	1.00E-10	1.00E-10
20160711	4.584	3.45E-05	1.00E-07	1.00E-10	1.00E-10
20160712	4.587	3.46E-05	1.00E-07	1.00E-10	1.00E-10
20160713	4.59	3.47E-05	1.00E-07	1.00E-10	1.00E-10
20160714	4.593	3.48E-05	1.00E-07	1.00E-10	1.00E-10
20160715	4.596	3.49E-05	1.00E-07	1.00E-10	1.00E-10
20160716	4.599	3.50E-05	1.00E-07	1.00E-10	1.00E-10
20160717	4.602	3.51E-05	1.00E-07	1.00E-10	1.00E-10
20160718	4.605	3.52E-05	1.00E-07	1.00E-10	1.00E-10
20160719	4.608	3.53E-05	1.00E-07	1.00E-10	1.00E-10
20160720	4.611	3.54E-05	1.00E-07	1.00E-10	1.00E-10
20160721	4.614	3.55E-05	1.00E-07	1.00E-10	1.00E-10
20160722	4.617	3.56E-05	1.00E-07	1.00E-10	1.00E-10
20160723	4.62	3.57E-05	1.00E-07	1.00E-10	1.00E-10
20160724	4.623	3.58E-05	1.00E-07	1.00E-10	1.00E-10
20160725	4.626	3.59E-05	1.00E-07	1.00E-10	1.00E-10
20160726	4.629	3.60E-05	1.00E-07	1.00E-10	1.00E-10
20160727	4.632	3.61E-05	1.00E-07	1.00E-10	1.00E-10
20160728	4.635	3.62E-05	1.00E-07	1.00E-10	1.00E-10
20160729	4.638	3.63E-05	1.00E-07	1.00E-10	1.00E-10
20160730	4.641	3.64E-05	1.00E-07	1.00E-10	1.00E-10
20160731	4.644	3.65E-05	1.00E-07	1.00E-10	1.00E-10
20160801	4.647	3.66E-05	1.00E-07	1.00E-10	1.00E-10
20160802	4.65	3.67E-05	1.00E-07	1.00E-10	1.00E-10
20160803	4.653	3.68E-05	1.00E-07	1.00E-10	1.00E-10
20160804	4.656	3.69E-05	1.00E-07	1.00E-10	1.00E-10
20160805	4.659	3.70E-05	1.00E-07	1.00E-10	1.00E-10
20160806	4.662	3.71E-05	1.00E-07	1.00E-10	1.00E-10
20160807	4.665	3.72E-05	1.00E-07	1.00E-10	1.00E-10
20160808	4.668	3.73E-05	1.00E-07	1.00E-10	1.00E-10
20160809	4.671	3.74E-05	1.00E-07	1.00E-10	1.00E-10
20160810	4.674	3.75E-05	1.00E-07	1.00E-10	1.00E-10
20160811	4.677	3.76E-05	1.00E-07	1.00E-10	1.00E-10
20160812	4.68	3.77E-05	1.00E-07	1.00E-10	1.00E-10
20160813	4.683	3.78E-05	1.00E-07	1.00E-10	1.00E-10
20160814	4.686	3.79E-05	1.00E-07	1.00E-10	1.00E-10
20160815	4.689	3.80E-05	1.00E-07	1.00E-10	1.00E-10
20160816	4.692	3.81E-05	1.00E-07	1.00E-10	1.00E-10
20160817	4.695	3.82E-05	1.00E-07	1.00E-10	1.00E-10
20160818	4.698	3.83E-05	1.00E-07	1.00E-10	1.00E-10
20160819	4.701	3.84E-05	1.00E-07	1.00E-10	1.00E-10
20160820	4.704	3.85E-05	1.00E-07	1.00E-10	1.00E-10
20160821	4.707	3.86E-05	1.00E-07	1.00E-10	1.00E-10
20160822	4.71	3.87E-05	1.00E-07	1.00E-10	1.00E-10
20160823	4.713	3.88E-05	1.00E-07	1.00E-10	1.00E-10
20160824	4.716	3.89E-05	1.00E-07	1.00E-10	1.00E-10
20160825	4.719	3.90E-05	1.00E-07	1.00E-10	1.00E-10
20160826	4.722	3.91E-05	1.00E-07	1.00E-10	1.00E-10
20160827	4.725	3.92E-05	1.00E-07	1.00E-10	1.00E-10
20160828	4.728	3.93E-05	1.00E-07	1.00E-10	1.00E-10
20160829	4.731	3.94E-05	1.00E-07	1.00E-10	1.00E-10
20160830	4.734	3.95E-05	1.00E-07	1.00E-10	1.00E-10
20160831	4.737	3.96E-05	1.00E-07	1.00E-10	1.00E-10
20160901	4.74	3.97E-05	1.00E-07	1.00E-10	1.00E-10
20160902	4.743	3.98E-05	1.00E-07	1.00E-10	1.00E-10
20160903	4.746	3.99E-05	1.00E-07	1.00E-10	1.00E-10
20160904	4.749	4.00E-05	1.00E-07	1.00E-10	1.00E-10
20160905	4.752	4.01E-05	1.00E-07	1.00E-10	1.00E-10
20160906	4.755	4.02E-05	1.00E-07	1.00E-10	1.00E-10
20160907	4.758	4.03E-05	1.00E-07	1.00E-10	1.00E-10
20160908	4.761	4.04E-05	1.00E-07	1.00E-10	1.00E-10
20160909	4.764	4.05E-05	1.00E-07	1.00E-10	1.00E-10
20160910	4.767	4.06E-05	1.00E-07	1.00E-10	1.00E-10
20160911	4.77	4.07E-05	1.00E-07	1.00E-10	1.00E-10
20160912	4.773	4.08E-05	1.00E-07	1.00E-10	1.00E-10
20160913	4.776	4.09E-05	1.00E-07	1.00E-10	1.00E-10
20160914	4.779	4.10E-05	1.00E-07	1.00E-10	1.00E-10
20160915	4.782	4.11E-05	1.00E-07	1.00E-10	1.00E-10
20160916	4.785	4.12E-05	1.00E-07	1.00E-10	1.00E-10
20160917	4.788	4.13E-05	1.00E-07	1.00E-10	1.00E-10
20160918	4.791	4.14E-05	1.00E-07	1.00E-10	1.00E-10
20160919	4.794	4.15E-05	1.00E-07	1.00E-10	1.00E-10
20160920	4.797	4.16E-05	1.00E-07	1.00E-10	1.00E-10
20160921	4.8	4.17E-05	1.00E-07	1.00E-10	1.00E-10
20160922	4.803	4.18E-05	1.00E-07	1.00E-10	1.00E-10
20160923	4.806	4.19E-05	1.00E-07	1.00E-10	1.00E-10
20160924	4.809	4.20E-05	1.00E-07	1.00E-10	1.00E-10
20160925	4.812	4.21E-05	1.00E-07	1.00E-10	1.00E-10
20160926	4.815	4.22E-05	1.00E-07	1.00E-10	1.00E-10
20160927	4.818	4.23E-05	1.00E-07	1.00E-10	1.00E-10
20160928	4.821	4.24E-05	1.00E-07	1.00E-10	1.00E-10
20160929	4.824	4.25E-05	1.00E-07	1.00E-10	1.00E-10
20160930	4.827	4.26E-05	1.00E-07	1.00E-10	1.00E-10
20161001	4.83	4.27E-05	1.00E-07	1.00E-10	1.00E-10
20161002	4.833	4.28E-05	1.00E-07	1.00E-10	1.00E-10
20161003	4.836	4.29E-05	1.00E-07	1.00E-10	1.00E-10
20161004	4.839	4.30E-05	1.00E-07	1.00E-10	1.00E-10
20161005	4.842	4.31E-05	1.00E-07	1.00E-10	1.00E-10
20161006	4.845	4.32E-05	1.00E-07	1.00E-10	1.00E-10
20161007	4.848	4.33E-05	1.00E-07	1.00E-10	1.00E-10
20161008	4.851	4.34E-05	1.00E-07	1.00E-10	1.00E-10
20161009	4.854	4.35E-05	1.00E-07	1.00E-10	1.00E-10
20161010	4.857	4.36E-05	1.00E-07	1.00E-10	1.00E-10
20161011	4.86	4.37E-05	1.00E-07	1.00E-10	1.00E-10
20161012	4.863	4.38E-05	1.00E-07	1.00E-10	1.00E-10
20161013	4.866	4.39E-05	1.00E-07	1.00E-10	1.00E-10
20161014	4.869	4.40E-05	1.00E-07	1.00E-10	1.00E-10
20161015	4.872	4.41E-05	1.00E-07	1.00E-10	1.00E-10
20161016	4.875	4.42E-05	1.00E-07	1.00E-10	1.00E-10
20161017	4.878	4.43E-05	1.00E-07	1.00E-10	1.00E-10
20161018	4.881	4.44E-05	1.00E-07	1.00E-10	1.00E-10
20161019	4.884	4.45E-05	1.00E-07	1.00E-10	1.00E-10
20161020	4.887	4.46E-05	1.00E-07	1.00E-10	1.00E-10
20161021	4.89	4.47E-05	1.00E-07	1.00E-10	1.00E-10
20161022	4.893	4.48E-05	1.00E-07	1.00E-10	1.00E-10
20161023	4.896	4.49E-05	1.00E-07	1.00E-10	1.00E-10
20161024	4.899	4.50E-05	1.00E-07	1.00E-10	1.00E-10
20161025	4.902	4.51E-05	1.00E-07	1.00E-10	1.00E-10
20161026	4.905	4.52E-05	1.00E-07	1.00E-10	1.00E-10
20161027	4.908	4.53E-05	1.00E-07	1.00E-10	1.00E-10
20161028	4.911	4.54E-05	1.00E-07	1.00E-10	1.00E-10
20161029	4.914	4.55E-05	1.00E-07	1.00E-10	1.00E-10
20161030	4.917	4.56E-05	1.00E-07	1.00E-10	1.00E-10
20161031	4.92	4.57E-05	1.00E-07	1.00E-10	1.00E-10
20161101	4.923	4.58E-05	1.00E-07	1.00E-10	1.00E-10
20161102	4.926	4.59E-05	1.00E-07	1.00E-10	1.00E-10
20161103	4.929	4.60E-05	1.00E-07	1.00E-10	1.00E-10
20161104	4.932	4.61E-05	1.00E-07	1.00E-10	1.00E-10
20161105	4.935	4.62E-05	1.00E-07	1.00E-10	1.00E-10
20161106	4.938	4.63E-05	1.00E-07	1.00E-10	1.00E-10
20161107	4.941	4.64E-05	1.00E-07	1.00E-10	1.00E-10
20161108	4.944	4.65E-05	1.00E-07	1.00E-10	1.00E-10
20161109	4.947	4.66E-05	1.00E-07	1.00E-10	1.00E-10
20161110	4.95	4.67E-05	1.00E-07	1.00E-10	1.00E-10
20161111	4.953	4.68E-05	1.00E-07	1.00E-10	1.00E-10
20161112	4.956	4.69E-05	1.00E-07	1.00E-10	1.00E-10
20161113	4.959	4.70E-05	1.00E-07	1.00E-10	1.00E-10
20161114	4.962	4.71E-05	1.00E-07	1.00E-10	1.00E-10
20161115	4.965	4.72E-05	1.00E-07	1.00E-10	1.00E-10
20161116	4.968	4.73E-05	1.00E-07	1.00E-10	1.00E-10
20161117	4.971	4.74E-05	1.00E-07	1.00E-10	1.00E-10
20161118	4.974	4.75E-05	1.00E-07	1.00E-10	1.00E-10
20161119	4.977	4.76E-05	1.00E-07	1.00E-10	1.00E-10
20161120	4.98	4.77E-05	1.00E-07	1.00E-10	1.00E-10
20161121	4.983	4.78E-05	1.00E-07	1.00E-10	1.00E-10
20161122	4.986	4.79E-05	1.00E-07	1.00E-10	1.00E-10
20161123	4.989	4.80E-05	1.00E-07	1.00E-10	1.00E-10
20161124	4.992	4.81E-05	1.00E-07	1.00E-10	1.00E-10
20161125	4.995	4.82E-05	1.00E-07	1.00E-10	1.00E-10
20161126	4.998	4.83E-05	1.00E-07	1.00E-10	1.00E-10
20161127	5.001	4.84E-05	1.00E-07	1.00E-10	1.00E-10
20161128	5.004	4.85E-05	1.00E-07	1.00E-10	1.00E-10
20161129	5.007	4.86E-05	1.00E-07	1.00E-10	1.00E-10
20161130	5.01	4.87E-05	1.00E-07	1.00E-10	1.00E-10
20161201	5.013	4.88E-05	1.00E-07	1.00E-10	1.00E-10
20161202	5.016	4.89E-05	1.00E-07	1.00E-10	1.00E-10
20161203	5.019	4.90E-05	1.00E-07	1.00E-10	1.00E-10
20161204	5.022	4.91E-05	1.00E-07	1.00E-10	1.00E-10
20161205	5.025	4.92E-05	1.00E-07	1.00E-10	1.00E-10
20161206	5.028	4.93E-05	1.00E-07	1.00E-10	1.00E-10
20161207	5.031	4.94E-05	1.00E-07	1.00E-10	1.00E-10
20161208	5.034	4.95E-05	1.00E-07	1.00E-10	1.00E-10
20161209	5.037	4.96E-05	1.00E-07	1.00E-10	1.00E-10
20161210	5.04	4.97E-05	1.00E-07	1.00E-10	1.00E-10
20161211	5.043	4.98E-05	1.00E-07	1.00E-10	1.00E-10
20161212	5.046	4.99E-05	1.00E-07	1.00E-10	1.00E-10
20161213	5.049	5.00E-05	1.00E-07	1.00E-10	1.00E-10
20161214	5.052	5.01E-05	1.00E-07	1.00E-10	1.00E-10
20161215	5.055	5.02E-05	1.00E-07	1.00E-10	1.00E-10
20161216	5.058	5.03E-05	1.00E-07	1.00E-10	1.00E-10
20161217	5.061	5.04E-05	1.00E-07	1.00E-10	1.00E-10
20161218	5.064	5.05E-05	1.00E-07	1.00E-10	1.00E-10
20161219	5.067	5.06E-05	1.00E-07	1.00E-10	1.00E-10
20161220	5.07	5.07E-05	1.00E-07	1.00E-10	1.00E-10
20161221	5.073	5.08E-05	1.00E-07	1.00E-10	1.00E-10
20161222	5.076	5.09E-05	1.00E-07	1.00E-10	1.00E-10
20161223	5.079	5.10E-05	1.00E-07	1.00E-10	1.00E-10
20161224	5.082	5.11E-05	1.00E-07	1.00E-10	1.00E-10
20161225	5.085	5.12E-05	1.00E-07	1.00E-10	1.00E-10
20161226	5.088	5.13E-05	1.00E-07	1.00E-10	1.00E-10
20161227	5.091	5.14E-05	1.00E-07	1.00E-10	1.00E-10
20161228	5.094	5.15E-05	1.00E-07	1.00E-10	1.00E-10
20161229	5.097	5.16E-05	1.00E-07	1.00E-10	1.00E-10
20161230	5.1	5.17E-05	1.00E-07	1.00E-10	1.00E-10
20161231	5.103	5.18E-05	1.00E-07	1.00E-10	1.00E-10
