Date	pH	Cl-
20090625	5.5	3.00E-20
20090626	5.5	3.00E-20
20090627	5.5	3.00E-20
20090628	5.5	3.00E-20
20090629	5.5	3.00E-20
20090630	5.5	3.00E-20
20090701	5.5	3.00E-20
20090702	5.5	3.00E-20
20090703	5.5	3.00E-20
20090704	5.5	3.00E-20
20090705	5.5	3.00E-20
20090706	5.5	3.00E-20
20090707	5.5	3.00E-20
20090708	5.5	3.00E-20
20090709	5.5	3.00E-20
20090710	5.5	3.00E-20
20090711	5.5	3.00E-20
20090712	5.5	3.00E-20
20090713	5.5	3.00E-20
20090714	5.5	3.00E-20
20090715	5.5	3.00E-20
20090716	5.5	3.00E-20
20090717	5.5	3.00E-20
20090718	5.5	3.00E-20
20090719	5.5	3.00E-20
20090720	5.5	3.00E-20
20090721	5.5	3.00E-20
20090722	5.5	3.00E-20
20090723	5.5	3.00E-20
20090724	5.5	3.00E-20
20090725	5.5	3.00E-20
20090726	5.5	3.00E-20
20090727	5.5	3.00E-20
20090728	5.5	3.00E-20
20090729	5.5	3.00E-20
20090730	5.5	3.00E-20
20090731	5.5	3.00E-20
20090801	5.5	3.00E-20
20090802	5.5	3.00E-20
20090803	5.5	3.00E-20
20090804	5.5	3.00E-20
20090805	5.5	3.00E-20
20090806	5.5	3.00E-20
20090807	5.5	3.00E-20
20090808	5.5	3.00E-20
20090809	5.5	3.00E-20
20090810	5.5	3.00E-20
20090811	5.5	3.00E-20
20090812	5.5	3.00E-20
20090813	5.5	3.00E-20
20090814	5.5	3.00E-20
20090815	5.5	3.00E-20
20090816	5.5	3.00E-20
20090817	5.5	3.00E-20
20090818	5.5	3.00E-20
20090819	5.5	3.00E-20
20090820	5.5	3.00E-20
20090821	5.5	3.00E-20
20090822	5.5	3.00E-20
20090823	5.5	3.00E-20
20090824	5.5	3.00E-20
20090825	5.5	3.00E-20
20090826	5.5	3.00E-20
20090827	5.5	3.00E-20
20090828	5.5	3.00E-20
20090829	5.5	3.00E-20
20090830	5.5	3.00E-20
20090831	5.5	3.00E-20
20090901	5.5	3.00E-20
20090902	5.5	3.00E-20
20090903	5.5	3.00E-20
20090904	5.5	3.00E-20
20090905	5.5	3.00E-20
20090906	5.5	3.00E-20
20090907	5.5	3.00E-20
20090908	5.5	3.00E-20
20090909	5.5	3.00E-20
20090910	5.5	3.00E-20
20090911	5.5	3.00E-20
20090912	5.5	3.00E-20
20090913	5.5	3.00E-20
20090914	5.5	3.00E-20
20090915	5.5	3.00E-20
20090916	5.5	3.00E-20
20090917	5.5	3.00E-20
20090918	5.5	3.00E-20
20090919	5.5	3.00E-20
20090920	5.5	3.00E-20
20090921	5.5	3.00E-20
20090922	5.5	3.00E-20
20090923	5.5	3.00E-20
20090924	5.5	3.00E-20
20090925	5.5	3.00E-20
20090926	5.5	3.00E-20
20090927	5.5	3.00E-20
20090928	5.5	3.00E-20
20090929	5.5	3.00E-20
20090930	5.5	3.00E-20
20091001	5.5	3.00E-20
20091002	5.5	3.00E-20
20091003	5.5	3.00E-20
20091004	5.5	3.00E-20
20091005	5.5	3.00E-20
20091006	5.5	3.00E-20
20091007	5.5	3.00E-20
20091008	5.5	3.00E-20
20091009	5.5	3.00E-20
20091010	5.5	3.00E-20
20091011	5.5	3.00E-20
20091012	5.5	3.00E-20
20091013	5.5	3.00E-20
20091014	5.5	3.00E-20
20091015	5.5	3.00E-20
20091016	5.5	3.00E-20
20091017	5.5	3.00E-20
20091018	5.5	3.00E-20
20091019	5.5	3.00E-20
20091020	5.5	3.00E-20
20091021	5.5	3.00E-20
20091022	5.5	3.00E-20
20091023	5.5	3.00E-20
20091024	5.5	3.00E-20
20091025	5.5	3.00E-20
20091026	5.5	3.00E-20
20091027	5.5	3.00E-20
20091028	5.5	3.00E-20
20091029	5.5	3.00E-20
20091030	5.5	3.00E-20
20091031	5.5	3.00E-20
20091101	5.5	3.00E-20
20091102	5.5	3.00E-20
20091103	5.5	3.00E-20
20091104	5.5	3.00E-20
20091105	5.5	3.00E-20
20091106	5.5	3.00E-20
20091107	5.5	3.00E-20
20091108	5.5	3.00E-20
20091109	5.5	3.00E-20
20091110	5.5	3.00E-20
20091111	5.5	3.00E-20
20091112	5.5	3.00E-20
20091113	5.5	3.00E-20
20091114	5.5	3.00E-20
20091115	5.5	3.00E-20
20091116	5.5	3.00E-20
20091117	5.5	3.00E-20
20091118	5.5	3.00E-20
20091119	5.5	3.00E-20
20091120	5.5	3.00E-20
20091121	5.5	3.00E-20
20091122	5.5	3.00E-20
20091123	5.5	3.00E-20
20091124	5.5	3.00E-20
20091125	5.5	3.00E-20
20091126	5.5	3.00E-20
20091127	5.5	3.00E-20
20091128	5.5	3.00E-20
20091129	5.5	3.00E-20
20091130	5.5	3.00E-20
20091201	5.5	3.00E-20
20091202	5.5	3.00E-20
20091203	5.5	3.00E-20
20091204	5.5	3.00E-20
20091205	5.5	3.00E-20
20091206	5.5	3.00E-20
20091207	5.5	3.00E-20
20091208	5.5	3.00E-20
20091209	5.5	3.00E-20
20091210	5.5	3.00E-20
20091211	5.5	3.00E-20
20091212	5.5	3.00E-20
20091213	5.5	3.00E-20
20091214	5.5	3.00E-20
20091215	5.5	3.00E-20
20091216	5.5	3.00E-20
20091217	5.5	3.00E-20
20091218	5.5	3.00E-20
20091219	5.5	3.00E-20
20091220	5.5	3.00E-20
20091221	5.5	3.00E-20
20091222	5.5	3.00E-20
20091223	5.5	3.00E-20
20091224	5.5	3.00E-20
20091225	5.5	3.00E-20
20091226	5.5	3.00E-20
20091227	5.5	3.00E-20
20091228	5.5	3.00E-20
20091229	5.5	3.00E-20
20091230	5.5	3.00E-20
20091231	5.5	3.00E-20

