Date	pH	Cl-	DOC	CO2(aq)	SOC	Decomp	X-
20160206	4.116	2.80E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160207	4.119	2.85E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160208	4.122	2.90E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160209	4.125	2.95E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160210	4.128	3.00E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160211	4.131	3.05E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160212	4.134	3.10E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160213	4.137	3.15E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160214	4.14	3.20E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160215	4.143	3.25E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160216	4.146	3.30E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160217	4.149	3.35E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160218	4.152	3.40E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160219	4.155	3.45E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160220	4.158	3.50E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160221	4.161	3.55E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160222	4.164	3.60E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160223	4.167	3.65E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160224	4.17	3.70E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160225	4.173	3.75E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160226	4.176	3.80E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160227	4.179	3.85E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160228	4.182	3.90E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160229	4.185	3.95E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160301	4.188	4.00E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160302	4.191	4.05E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160303	4.194	4.10E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160304	4.197	4.15E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160305	4.2	4.20E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160306	4.203	4.25E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160307	4.206	4.30E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160308	4.209	4.35E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160309	4.212	4.40E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160310	4.215	4.45E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160311	4.218	4.50E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160312	4.221	4.55E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160313	4.224	4.60E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160314	4.227	4.65E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160315	4.23	4.70E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160316	4.233	4.75E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160317	4.236	4.80E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160318	4.239	4.85E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160319	4.242	4.90E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160320	4.245	4.95E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160321	4.248	5.00E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160322	4.251	5.05E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160323	4.254	5.10E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160324	4.257	5.15E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160325	4.26	5.20E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160326	4.263	5.25E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160327	4.266	5.30E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160328	4.269	5.35E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160329	4.272	5.40E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160330	4.275	5.45E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160331	4.278	5.50E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160401	4.281	5.55E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160402	4.284	5.60E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160403	4.287	5.65E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160404	4.29	5.70E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160405	4.293	5.75E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160406	4.296	5.80E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160407	4.299	5.85E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160408	4.302	5.90E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160409	4.305	5.95E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160410	4.308	6.00E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160411	4.311	6.05E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160412	4.314	6.10E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160413	4.317	6.15E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160414	4.32	6.20E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160415	4.323	6.25E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160416	4.326	6.30E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160417	4.329	6.35E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160418	4.332	6.40E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160419	4.335	6.45E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160420	4.338	6.50E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160421	4.341	6.55E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160422	4.344	6.60E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160423	4.347	6.65E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160424	4.35	6.70E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160425	4.353	6.75E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160426	4.356	6.80E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160427	4.359	6.85E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160428	4.362	6.90E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160429	4.365	6.95E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160430	4.368	7.00E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160501	4.371	7.05E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160502	4.374	7.10E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160503	4.377	7.15E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160504	4.38	7.20E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160505	4.383	7.25E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160506	4.386	7.30E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160507	4.389	7.35E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160508	4.392	7.40E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160509	4.395	7.45E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160510	4.398	7.50E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160511	4.401	7.55E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160512	4.404	7.60E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160513	4.407	7.65E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160514	4.41	7.70E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160515	4.413	7.75E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160516	4.416	7.80E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160517	4.419	7.85E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160518	4.422	7.90E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160519	4.425	7.95E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160520	4.428	8.00E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160521	4.431	8.05E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160522	4.434	8.10E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160523	4.437	8.15E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160524	4.44	8.20E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160525	4.443	8.25E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160526	4.446	8.30E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160527	4.449	8.35E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160528	4.452	8.40E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160529	4.455	8.45E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160530	4.458	8.50E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160531	4.461	8.55E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160601	4.464	8.60E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160602	4.467	8.65E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160603	4.47	8.70E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160604	4.473	8.75E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160605	4.476	8.80E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160606	4.479	8.85E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160607	4.482	8.90E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160608	4.485	8.95E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160609	4.488	9.00E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160610	4.491	9.05E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160611	4.494	9.10E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160612	4.497	9.15E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160613	4.5	9.20E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160614	4.503	9.25E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160615	4.506	9.30E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160616	4.509	9.35E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160617	4.512	9.40E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160618	4.515	9.45E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160619	4.518	9.50E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160620	4.521	9.55E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160621	4.524	9.60E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160622	4.527	9.65E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160623	4.53	9.70E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160624	4.533	9.75E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160625	4.536	9.80E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160626	4.539	9.85E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160627	4.542	9.90E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160628	4.545	9.95E-05	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160629	4.548	1.00E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160630	4.551	1.01E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160701	4.554	1.01E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160702	4.557	1.02E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160703	4.56	1.02E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160704	4.563	1.03E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160705	4.566	1.03E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160706	4.569	1.04E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160707	4.572	1.04E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160708	4.575	1.05E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160709	4.578	1.05E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160710	4.581	1.06E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160711	4.584	1.06E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160712	4.587	1.07E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160713	4.59	1.07E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160714	4.593	1.08E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160715	4.596	1.08E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160716	4.599	1.09E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160717	4.602	1.09E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160718	4.605	1.10E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160719	4.608	1.10E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160720	4.611	1.11E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160721	4.614	1.11E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160722	4.617	1.12E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160723	4.62	1.12E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160724	4.623	1.13E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160725	4.626	1.13E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160726	4.629	1.14E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160727	4.632	1.14E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160728	4.635	1.15E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160729	4.638	1.15E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160730	4.641	1.16E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160731	4.644	1.16E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160801	4.647	1.17E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160802	4.65	1.17E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160803	4.653	1.18E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160804	4.656	1.18E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160805	4.659	1.19E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160806	4.662	1.19E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160807	4.665	1.20E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160808	4.668	1.20E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160809	4.671	1.21E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160810	4.674	1.21E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160811	4.677	1.22E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160812	4.68	1.22E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160813	4.683	1.23E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160814	4.686	1.23E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160815	4.689	1.24E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160816	4.692	1.24E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160817	4.695	1.25E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160818	4.698	1.25E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160819	4.701	1.26E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160820	4.704	1.26E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160821	4.707	1.27E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160822	4.71	1.27E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160823	4.713	1.28E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160824	4.716	1.28E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160825	4.719	1.29E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160826	4.722	1.29E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160827	4.725	1.30E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160828	4.728	1.30E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160829	4.731	1.31E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160830	4.734	1.31E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160831	4.737	1.32E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160901	4.74	1.32E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160902	4.743	1.33E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160903	4.746	1.33E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160904	4.749	1.34E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160905	4.752	1.34E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160906	4.755	1.35E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160907	4.758	1.35E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160908	4.761	1.36E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160909	4.764	1.36E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160910	4.767	1.37E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160911	4.77	1.37E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160912	4.773	1.38E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160913	4.776	1.38E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160914	4.779	1.39E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160915	4.782	1.39E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160916	4.785	1.40E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160917	4.788	1.40E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160918	4.791	1.41E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160919	4.794	1.41E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160920	4.797	1.42E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160921	4.8	1.42E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160922	4.803	1.43E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160923	4.806	1.43E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160924	4.809	1.44E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160925	4.812	1.44E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160926	4.815	1.45E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160927	4.818	1.45E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160928	4.821	1.46E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160929	4.824	1.46E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20160930	4.827	1.47E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161001	4.83	1.47E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161002	4.833	1.48E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161003	4.836	1.48E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
20161004	4.839	1.49E-04	1.00E-07	1.00E-07	1.00E-10	1.00E-10	1.00E-10
